6, 7
6, 8
6, 14
6, 9
7, 6
7, 33
7, 32
7, 34
8, 3
8, 5
14, 17
14, 16
14, 19
14, 21
14, 20
14, 18
33, 35
33, 36
33, 37
32, 10
32, 80
34, 28
3, 2
5, 1
17, 15
21, 27
20, 24
20, 22
35, 11
35, 57
36, 59
36, 61
36, 38
36, 58
36, 60
10, 4
10, 158
10, 12
80, 56
80, 69
80, 73
80, 79
80, 82
80, 87
80, 81
80, 84
80, 83
28, 29
27, 25
27, 26
24, 23
59, 51
61, 65
61, 63
61, 62
4, 39
4, 157
12, 155
56, 55
56, 71
56, 72
69, 67
69, 68
69, 70
73, 74
73, 76
79, 124
79, 120
79, 123
82, 78
87, 86
87, 89
87, 110
87, 112
87, 90
84, 85
83, 88
29, 154
29, 30
65, 52
65, 53
65, 54
65, 64
65, 66
62, 115
39, 50
39, 40
157, 41
157, 42
157, 105
55, 44
55, 156
74, 45
76, 47
76, 48
76, 49
76, 75
76, 77
76, 111
124, 125
120, 116
120, 117
120, 118
120, 121
123, 122
123, 137
110, 114
112, 106
112, 113
90, 136
90, 134
154, 31
115, 119
115, 127
115, 129
115, 128
42, 43
105, 104
44, 46
111, 159
137, 135
137, 139
114, 107
106, 109
31, 126
129, 131
129, 130
129, 132
104, 99
104, 103
135, 108
135, 138
139, 141
139, 140
131, 152
131, 151
132, 133
99, 93
99, 100
103, 102
141, 143
141, 144
141, 160
141, 142
151, 149
151, 150
151, 153
93, 92
93, 94
93, 96
93, 95
100, 101
143, 145
144, 147
144, 146
144, 148
92, 91
96, 97
97, 98
